model,station_id,province,rows,mae,rmse,r2,bias_mean_error,median_abs_error,p90_abs_error,p95_abs_error,within_5ug_pct,within_10ug_pct,within_15ug_pct,within_20ug_pct,within_25ug_pct,within_30ug_pct
Persistence_current_pm25,102t,มุกดาหาร,5068,6.267363854481499,8.934618029228151,0.4045215080011916,-0.015035507425477629,4.299999809265136,14.700000381469726,19.29999973297119,56.491712707182316,80.95895816890291,90.37095501183899,95.61957379636937,97.8295185477506,98.89502762430939
Persistence_current_pm25,106t,บึงกาฬ,5068,10.379794812437673,15.890749807853805,0.8112469175361116,-0.024743512406909952,6.949997711181638,22.299997978210445,32.89999885559082,38.989739542225735,64.02920284135753,80.03157063930544,87.50986582478295,91.85082872928176,94.1594317284925
Persistence_current_pm25,82t,หนองคาย,5068,9.914246256086143,14.92322685878287,0.6373771727721598,-0.01227308525847197,6.5,22.800000495910645,30.664998550415003,41.33780584056827,65.35122336227307,79.63693764798737,87.11523283346487,92.16653512233623,94.672454617206
Persistence_current_pm25,83t,อุบลราชธานี,5068,7.768153128152582,11.671244152631314,0.5578338702439164,0.01681134747348632,4.79999942779541,18.199999237060545,25.100002517700194,51.47987371744278,73.91475927387529,85.71428571428571,91.92975532754538,94.88950276243095,96.64561957379637
Persistence_current_pm25,88t,นครพนม,5068,7.035536708331417,9.372594047696776,0.4424965101026672,-0.0613851731726878,5.499998855590819,15.30000038146973,19.264999771118127,46.72454617205998,75.71033938437253,89.40410418310971,95.44198895027624,97.96764009471191,99.19100236779795
Ridge_lag_rolling_spatial,102t,มุกดาหาร,5068,5.804353178949363,7.95773496549914,0.5276183262377424,-1.0488990698824179,4.322442197799683,12.532431163787841,16.229940490722655,56.27466456195738,83.36621941594318,93.88318863456985,97.336227308603,98.79636937647987,99.4869771112865
Ridge_lag_rolling_spatial,106t,บึงกาฬ,5068,10.234101378362576,16.57050489696509,0.7947530294756022,0.8617349574390883,6.694146537780762,21.581812667846684,33.910575065612775,37.84530386740331,68.52801894238358,83.32675611681137,88.93054459352801,92.12707182320442,94.06077348066299
Ridge_lag_rolling_spatial,82t,หนองคาย,5068,8.966210477203484,13.338183762879282,0.7103169726492832,-0.3885514386356957,6.295097160339355,19.713307914733885,27.19556980133056,40.72612470402526,71.42857142857143,83.72138910812944,90.27229676400947,94.02131018153118,96.17205998421467
Ridge_lag_rolling_spatial,83t,อุบลราชธานี,5068,7.225060094013258,10.562506835749748,0.6378527682330066,-0.5089739903572419,4.815860176086426,16.52054870605469,22.918612670898437,51.51933701657458,77.28887134964482,87.98342541436463,93.29123914759275,96.13259668508287,97.73086029992108
Ridge_lag_rolling_spatial,88t,นครพนม,5068,6.2968006146640985,8.159270479045341,0.5774961830287213,-0.9005080399404103,5.22892303466797,12.790304336547852,16.1249305152893,47.98737174427782,82.20205209155486,93.48855564325179,97.61247040252566,99.05288082083662,99.60536700868192
HistGradientBoosting_lag_rolling_spatial,102t,มุกดาหาร,5068,5.833001632660321,8.185820958451666,0.5001512826207652,-0.5545138504717796,4.112873554229737,13.220338096618654,16.884772205352785,57.65588003157064,82.4191002367798,92.62036306235201,97.21783741120757,98.83583267561168,99.21073401736386
HistGradientBoosting_lag_rolling_spatial,106t,บึงกาฬ,5068,11.42258579209741,22.921992810130096,0.607255586070734,3.1660417331704593,6.513521385192872,20.864099273681642,33.96099296569822,39.81846882399368,69.39621152328334,83.28729281767956,89.30544593528019,92.12707182320442,94.04104183109709
HistGradientBoosting_lag_rolling_spatial,82t,หนองคาย,5068,9.421430763242371,15.036471973730228,0.6318527541856032,0.7356117471523328,6.224413681030274,20.823902969360354,29.392887516021723,41.79163378058406,70.52091554853985,82.77426992896606,89.3843725335438,92.71902131018153,95.34333070244672
HistGradientBoosting_lag_rolling_spatial,83t,อุบลราชธานี,5068,7.242009082194286,11.280644538882306,0.5869344339885822,1.914801007645659,4.323796463012696,16.423045120239262,24.541195011138864,54.75532754538279,78.11760063141278,87.92423046566694,92.79794790844514,95.2446724546172,96.94159431728492
HistGradientBoosting_lag_rolling_spatial,88t,นครพนม,5068,6.486837066188984,8.741994097310556,0.5149918971691494,-0.4535428865179832,4.872540760040283,14.134031143188478,18.653918628692605,51.18389897395422,80.56432517758485,91.39700078926597,95.99447513812154,98.36227308603,99.28966061562747
ExtraTrees_lag_rolling_spatial,102t,มุกดาหาร,5068,5.705273364224393,7.931004539968367,0.530786503089629,-0.5220920929686705,4.07727656364441,12.680762786865236,16.57009355545041,57.79400157853196,84.13575374901342,93.35043409629044,97.336227308603,98.89502762430939,99.4277821625888
ExtraTrees_lag_rolling_spatial,106t,บึงกาฬ,5068,11.086095112256393,20.425544799199827,0.6881451009943217,0.6858528764208378,6.771410560607908,21.217038497924808,32.82199722290039,37.904498816101025,67.32438831886346,82.87292817679558,89.02920284135753,92.42304656669297,94.21862667719022
ExtraTrees_lag_rolling_spatial,82t,หนองคาย,5068,9.331590740644943,14.745498405966018,0.6459630664211683,1.078981232323229,6.205384731292725,19.791602554321297,29.205707321166983,40.86424625098658,70.52091554853985,83.76085240726124,90.11444356748224,93.29123914759275,95.34333070244672
ExtraTrees_lag_rolling_spatial,83t,อุบลราชธานี,5068,7.038752030583001,10.813096463343062,0.6204654486961544,1.2178696601242183,4.401778936386108,16.103926696777343,23.08848375320433,54.99210734017363,78.7884767166535,88.57537490134175,93.6069455406472,95.91554853985794,97.07971586424625
ExtraTrees_lag_rolling_spatial,88t,นครพนม,5068,6.486422953233064,8.696222039608097,0.5200574922258584,-0.934532336767207,4.877628707885742,14.127018737792968,18.65319242477417,50.80899763220206,80.11049723756905,91.14048934490924,96.03393843725335,98.44119968429361,99.52644041041832
WeightedEnsemble_top3,102t,มุกดาหาร,5068,5.654736818287645,7.791720435621744,0.5471224183796297,-0.7063608467176395,4.167402784905949,12.311143022082796,16.09616889262281,57.4782951854775,84.09629044988161,93.68587213891081,97.55327545382794,99.05288082083662,99.4869771112865
WeightedEnsemble_top3,106t,บึงกาฬ,5068,10.365695504399897,18.79784959395863,0.7358676389180369,1.5640309859063048,6.506884056738741,20.095203572310663,29.803767472557034,38.476716653512234,70.06708760852408,84.15548539857932,89.9171270718232,93.03472770323599,95.04735595895816
WeightedEnsemble_top3,82t,หนองคาย,5068,8.959971628674461,13.867313656083446,0.6868774573890045,0.48197332192060943,6.111103501199441,19.63641901257113,27.89379580057306,41.25887924230466,71.88239936858722,84.17521704814523,90.25256511444357,93.76479873717443,96.01420678768746
WeightedEnsemble_top3,83t,อุบลราชธานี,5068,6.919447261236301,10.516482081019522,0.6410019115232894,0.8794804807724513,4.386196667020508,15.575427904521655,22.249146332383738,55.03157063930545,78.68981846882399,89.40410418310971,93.90292028413575,96.17205998421467,97.4151539068666
WeightedEnsemble_top3,88t,นครพนม,5068,6.273217674053202,8.273586641881126,0.5655741946540507,-0.764252972941439,4.923160906647199,13.27013212345644,17.32883935788366,50.887924230465664,81.59037095501184,92.5611681136543,96.8034727703236,99.11207576953433,99.64483030781373
